id,fecha_hora,numero,jugadores_presentes,velocity,direction,strategy,fichas,ganancia,saldo,opcion_apuesta,categoria,aus_rojo,aus_negro,aus_par,aus_impar,aus_1-18,aus_19-36
169.0,2025-05-10 17:23:34,2.0,10,55.533716043747155,antihorario,martingala,4.0,-2000.0,5500.0,rojo,negro,3,1,145,145,145,145
170.0,2025-05-10 17:24:15,16.0,10,60.41225837503999,horario,martingala,8.0,8000.0,9500.0,rojo,rojo,4,1,146,146,146,146
171.0,2025-05-10 17:24:58,13.0,10,48.766779754417826,antihorario,martingala,1.0,-500.0,8500.0,rojo,negro,1,2,147,147,147,147
172.0,2025-05-10 17:25:42,29.0,10,47.72695566197738,horario,martingala,2.0,-1000.0,6500.0,rojo,negro,2,1,148,148,148,148
173.0,2025-05-10 17:26:20,11.0,10,55.94109357804606,antihorario,martingala,4.0,-2000.0,2500.0,rojo,negro,3,1,149,149,149,149
174.0,2025-05-10 17:27:02,32.0,10,53.24186196352178,horario,martingala,8.0,8000.0,6500.0,rojo,rojo,4,1,150,150,150,150
175.0,2025-05-10 17:27:51,15.0,10,47.62021570396149,antihorario,martingala,1.0,-500.0,5500.0,rojo,negro,1,2,151,151,151,151
176.0,2025-05-10 17:28:33,26.0,10,58.27377955906656,horario,martingala,2.0,-1000.0,3500.0,rojo,negro,2,1,152,152,152,152
177.0,2025-05-10 17:29:13,4.0,10,53.359225109442164,antihorario,martingala,4.0,-2000.0,-500.0,rojo,negro,3,1,153,153,153,153
178.0,2025-05-10 17:29:59,8.0,10,59.798848911602626,horario,martingala,8.0,-4000.0,-8500.0,rojo,negro,4,1,154,154,154,154
179.0,2025-05-10 18:51:48,7.0,10,49.812858134714645,horario,martingala,2.0,2000.0,11000.0,rojo,rojo,5,1,155,155,155,155
180.0,2025-05-10 18:52:34,23.0,10,49.86790095704052,antihorario,martingala,1.0,1000.0,11500.0,rojo,rojo,1,2,156,156,156,156
181.0,2025-05-10 18:53:15,20.0,10,40.457655841666906,horario,martingala,1.0,-500.0,10500.0,rojo,negro,1,3,157,157,157,157
182.0,2025-05-10 18:54:02,8.0,10,44.8181239397232,antihorario,martingala,2.0,-1000.0,8500.0,rojo,negro,2,1,158,158,158,158
183.0,2025-05-10 18:55:22,3.0,10,46.74709399206048,horario,martingala,4.0,4000.0,10500.0,rojo,rojo,3,1,159,159,159,159
184.0,2025-05-10 18:56:03,10.0,10,54.94183382961459,horario,martingala,1.0,-500.0,9500.0,rojo,negro,1,2,160,160,160,160
