state_dir_bin,state_jugadores,state_pos_0,state_pos_1,state_pos_2,state_pos_3,state_pos_4,state_pos_5,state_pos_6,state_pos_7,state_pos_8,state_pos_9,state_velocidad,accion,recompensa,next_state_dir_bin,next_state_jugadores,next_state_pos_0,next_state_pos_1,next_state_pos_2,next_state_pos_3,next_state_pos_4,next_state_pos_5,next_state_pos_6,next_state_pos_7,next_state_pos_8,next_state_pos_9,next_state_velocidad
1,1.4,0.4722222222222222,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.486006525441851,0,35.0,0,1.4,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.3166139909675696
0,1.4,0.8333333333333334,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.3166139909675696,0,-1.0,0,0.0,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.468215171599922
0,0.0,0.5,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.468215171599922,1,35.0,0,0.0,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.4332702726086685
0,0.0,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.4332702726086685,1,35.0,0,0.0,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.525519133767759
0,0.0,0.3333333333333333,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.525519133767759,1,-1.0,1,0.0,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.4971062578432512
1,0.0,0.027777777777777776,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.4971062578432512,0,-1.0,0,3.9,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.4367185612761564
0,3.9,0.5277777777777778,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.4367185612761564,1,-1.0,1,3.9,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.5740922945768099
1,3.9,0.5,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.5740922945768099,0,35.0,1,1.9,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.3888888888888889,0.621052431082115
1,1.9,1.0,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.3888888888888889,0.621052431082115,0,35.0,1,1.9,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.3888888888888889,0.3888888888888889,0.52558194400523
1,1.9,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.3888888888888889,0.3888888888888889,0.52558194400523,0,-1.0,0,1.4,0.4444444444444444,0.6666666666666666,0.7222222222222222,0.16666666666666666,0.4444444444444444,0.6111111111111112,0.19444444444444445,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.6040026547362172
